Institution,Code,Temporalis Area (mm^2),T Centroid (X),T centroid (Y),Joint (X),Joint (Y),Masseter Area (mm^2),M centroid (X),M centroid (Y),Joint Surface (X),Joint Surface (Y),Length (Lom),Length (Loc),Tiff file Length scalar,Med body weight (kg),Body Size Source (if not AKC),,Lever (T),Lever (M),Raw bite force (canine),Raw Bite Force (Molar),BFQ (canine),BFQ (Carnassial)
AMNH,16261,193179.700,1544.457,1458.433,1565.54,1728.35,136319.472,1035.017,1337.392,984.99,1620.88,869.9,1265.411,0.1089422,19.28,,border collie,0.029,0.031,317.68,462.12,122.74,116.81
AMNH,16263,141660.728,1054.777,1030.534,1055.42,1322.13,106068.312,971.034,1582.138,957.75,1850.38,766.6,1210.996,0.1016228,19.28,,border collie,0.030,0.027,220.22,347.89,85.09,87.93
AMNH,16265,121031.515,1080.583,1056.302,1070.98,1314.9,105020.004,903.719,1306.101,826.36,1556.63,713.3,1137.347,0.0975064,19.28,,border collie,0.025,0.026,182.04,290.26,70.34,73.37
AMNH,16266,125623.563,1286.755,1010.31,1306.53,1260.53,96881.459,663.331,1366.356,580.38,1613.83,777.4,1121.454,0.1024076,19.28,,border collie,0.026,0.027,196.59,283.60,75.96,71.68
AMNH,78,115207.877,1187.386,1085.767,1190.85,1350.64,102890.322,941.338,1433.063,893.06,1708.98,784.4,1146.482,0.09302808,19.28,,border collie,0.025,0.026,165.73,242.23,64.03,61.23
AMNH,204177,97433.391,1005.537,945.76,1001.16,1180.79,58738.692,536.692,1290.394,491.21,1517.34,745.3,1206.759,0.1089426,37.42,,borzoi,0.026,0.025,132.82,215.06,33.06,35.32
AMNH,238447,98710.093,1027.406,1108.346,1051.36,1359.65,56841.794,636.543,1289.545,614.5,1506.18,747.3,1200.424,0.1054251,37.42,,borzoi,0.027,0.023,127.77,205.24,31.80,33.71
AMNH,77,150397.16,1135.076,850.971,1128.72,1139.1,118278.756,777.533,1194.45,724.5,1454.22,769.1,1041.147,0.1016247,29.48,,bull terrier,0.029,0.027,274.18,371.16,79.93,71.18
AMNH,69456,134017.327,1273.456,935.225,1260.52,1208.54,100324.407,584.463,1018.33,555.84,1277.9,715.9,952.295,0.09664097,21.55,,english bulldog,0.026,0.025,228.13,303.46,81.88,71.36
AMNH,69453,145917.972,1243.352,921.26,1227.12,1175.23,115068.393,575.569,947.343,538.98,1187.85,697,919.494,0.08732779,21.55,,english bulldog,0.022,0.021,199.86,263.66,71.73,61.99
AMNH,100132,36138.032,1209.827,961.914,1201.4,1193.58,20290.262,559.975,1007.141,620.09,1224.56,518.9,821.995,0.04685933,2.72,,chihuahua,0.011,0.011,12.80,20.28,18.12,18.30
AMNH,90210,24560.032,1267.59,823.836,1258.33,1008.25,17707.426,671.161,923.585,681.78,1100.73,485.5,818.371,0.05502087,2.72,,chihuahua,0.010,0.010,10.51,17.71,14.87,15.98
AMNH,90231,24482.955,1148.963,773.899,1147.35,952.22,23384.396,571.054,873.56,583.32,1061.54,832.9,677.765,0.05837491,2.72,,chihuahua,0.010,0.011,16.32,13.28,23.09,11.98
AMNH,140219,115876.926,1326.533,1111.516,1328.89,1349.85,98549.81,592.05,1295.144,548.57,1559.91,826.5,1260.178,0.1089427,36.29,,doberman pinscher,0.026,0.029,188.39,287.24,47.86,48.13
AMNH,100321,121443.42,939.45,1014.435,932.34,1266.82,153751.176,564.876,1700.977,530.61,2005.63,736.2,1157.419,0.1089427,28.35,,english setter,0.028,0.033,295.18,464.06,88.32,91.29
AMNH,99665,110422.127,1116.078,1143.722,1094.71,1399.66,79528.775,583.941,1330.647,560.82,1566.61,749.7,1146.434,0.1025732,31.07,,german shep,0.026,0.024,160.33,245.17,45.14,45.44
AMNH,99666,107904.324,1076.056,1054.645,1056.59,1290.23,87330.701,653.729,1288.389,615.97,1536,764,1165.019,0.09755754,31.07,,german shep,0.023,0.024,143.22,218.39,40.32,40.48
AMNH,99669,135732.902,926.723,952.144,940.97,1227.47,105324.333,662.369,1309.208,637.57,1575.49,785.7,1257.106,0.1089426,31.07,,german shep,0.030,0.029,229.11,366.58,64.51,67.94
AMNH,35564,313784.025,1768.901,1358.866,1762.62,1698.02,207302.653,809.741,1875.659,745.69,2274.35,1175,1701.045,0.09122247,64.64,,great dane,0.031,0.037,344.18,498.27,59.63,57.37
AMNH,90250,207535.35,1197.232,1239.219,1186.26,1541.81,114737.413,710.875,1679.777,671.13,2025.22,1016,1536.638,0.1089425,51.03,,irish wolfhound,0.033,0.038,293.60,444.04,59.49,59.61
AMNH,6285,65841.676,1034.269,824.999,1013.37,1078.61,63477.823,460.139,1052.293,428.59,1274.91,604.3,937.992,0.0703736,4.76,,italian greyhound,0.018,0.016,60.61,94.08,59.18,59.01
AMNH,69465,165509.732,981.946,1025.082,963.2,1323.42,129212.728,496.748,1238.527,450.18,1520.31,857,1219.978,0.1089426,56.70,,newfoundland,0.033,0.031,310.92,442.61,58.75,55.49
AMNH,69469,277697.008,1368.432,1123.316,1389.9,1524.15,226725.841,896.12,1553.521,836.26,1935.79,1032,1496.347,0.08814044,56.70,,newfoundland,0.035,0.034,382.65,554.82,72.31,69.56
AMNH,132868,152303.245,922.591,1029.085,921.33,1310.62,104493.615,628.458,1500.459,600.76,1776.72,823.6,1241.426,0.1054251,36.29,,old english sheepdog,0.030,0.029,238.15,358.96,60.50,60.15
AMNH,35171,69031.946,1194.949,851.517,1206.13,1119.29,37373.096,509.92,973.064,569.5,1199.79,540.4,921.2,0.04967959,6.35,,pekingnese,0.013,0.012,27.02,46.07,21.80,23.97
AMNH,90118,98711.459,1307.555,847.774,1272.02,1114.92,71485.66,484.426,1109.69,528.28,1373,724,888.179,0.04685933,6.35,,pekingnese,0.013,0.013,41.79,51.27,33.71,26.67
AMNH,99673,107535.382,968.297,1008.33,970.86,1279.77,75587.719,506.3,1339.161,468.22,1579.24,750.9,1179.009,0.1089416,28.35,,rough collie,0.030,0.026,177.16,278.16,53.01,54.72
AMNH,99679,120456.908,1308.197,1018.017,1303.69,1293.09,70816.538,1094.259,1383.312,1084.46,1634.66,772.2,1225.941,0.09750623,28.35,,rough collie,0.027,0.025,146.20,232.11,43.74,45.66
AMNH,99680,108980.042,1239.792,1070.44,1219.71,1302.88,80164.209,703.776,1173.221,649.05,1404.34,658.1,1086.23,0.1024076,28.35,,rough collie,0.024,0.024,158.84,262.18,47.53,51.58
AMNH,120450,122317.778,1341.295,1154.627,1347.7,1414.45,77940.574,636.904,1351.569,595.91,1596.54,792.6,1254.271,0.1089422,23.81,,saluki,0.028,0.027,179.08,283.39,60.15,62.44
AMNH,90212,79992.196,1389.126,1121.738,1365.36,1333.83,62667.046,853.721,1218.396,778.52,1430.46,660.1,1053.122,0.08498819,9.07,,scottish terrier,0.018,0.019,79.11,126.20,50.38,52.07
,,,,,,,,,,,,,,,,,,,,,,,
SMNS,5014,444.256,76.912,62.371,21.23,76.55,431.675,35.108,84.021,31.81,101.23,52.68,79.772,,9.10,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B3,canis aureus,0.057,0.018,153.48,232.41,97.55,95.69
SMNS,5016,618.324,71.995,68.805,71.4,89.6,537.278,54.477,99.088,51.03,118.85,56.81,90.904,,9.10,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B2,canis aureus,0.021,0.020,96.23,153.97,61.16,63.40
ZMBMAM,35327,1128.314,95.831,83.897,96.25,109.31,1012.462,52.555,121.651,46.45,148.52,75.12,117.994,,10.70,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B1,canis latrans,0.025,0.028,177.41,278.66,101.27,103.27
SMNS,18994,1082.572,117.371,90.329,116.52,115.45,945.544,53.308,126.776,51.57,153.76,76.59,119.142,,10.70,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B0,canis latrans,0.025,0.027,163.91,254.97,93.56,94.49
SMNS,51589,1173.585,113.727,82.133,113.69,105.91,964.188,53.75,129.023,48.46,155.4,76.7,118.335,,10.70,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B1,canis latrans,0.024,0.027,168.35,259.74,96.10,96.26
USNM,168440,1886.994,124.069,101.82,124.48,133.88,1412.016,93.577,168.425,86.34,198.98,98.33,154.533,,35.50,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%282007%2988%5B347%3ABFAEAT%5D2.0.CO%3B2,canis lups alces,0.032,0.031,251.02,394.50,64.70,67.05
WAM,m3831,1162.115,97.378,98.005,97.25,122.51,831.546,52.441,129.164,50.75,153.85,74.94,114.899,,14.95,https://www.inaturalist.org/taxa/924041-Canis-familiaris-dingo,dingo,0.025,0.025,157.96,242.19,72.24,72.22
WAM,m5261,1218.996,103.232,95.923,104.37,122.47,1041.074,57.89,139.789,49.33,166.82,79.64,120.395,,14.95,https://www.inaturalist.org/taxa/924041-Canis-familiaris-dingo,dingo,0.027,0.028,190.26,287.62,87.01,85.76
ZMBMAM,52489,1078.635,117.072,91.051,116.51,116.07,906.819,47.738,139.144,40.01,163.63,80.02,126.947,,15.25,https://www.inaturalist.org/taxa/42045-Canis-simensis,canis simensis,0.025,0.026,146.54,232.47,66.14,68.43
ZMBMAM,69300,896.291,148.775,95.529,150.33,120,707.892,68.607,128.161,61.64,149.46,75.32,118.246,,15.25,https://www.inaturalist.org/taxa/42045-Canis-simensis,canis simensis,0.025,0.022,118.41,185.89,53.44,54.72
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
